site_id,CO,NO2,O3,PM2.5,SO2
32,0.0,100.0,100.0,100.0,0.0
52,0.0,100.0,100.0,0.0,0.0
59,0.0,100.0,100.0,100.0,100.0
1069,100.0,100.0,0.0,100.0,0.0
1080,0.0,0.0,0.0,0.0,100.0
1087,0.0,0.0,0.0,100.0,0.0
